match_id,direction,g14,g17,res
1998749,down,deep,shallow,B
1998751,down,deep,shallow,B
1998752,down,deep,deep,A
1998762,down,deep,deep,B
1998766,down,shallow,deep,A
1998767,down,deep,shallow,B
1998771,down,deep,shallow,B
1998772,down,,deep,P
1998780,down,deep,shallow,B
1998788,down,shallow,shallow,A
1998789,down,shallow,deep,A
1998799,down,shallow,deep,B
1998801,down,deep,shallow,B
1998819,down,deep,shallow,B
1998824,down,shallow,shallow,B
1998825,down,shallow,shallow,B
1998830,down,deep,shallow,B
1998844,down,deep,deep,A
1998845,down,shallow,shallow,B
1998846,down,deep,shallow,B
1998847,down,shallow,shallow,B
1998853,down,deep,deep,B
1998857,down,shallow,shallow,B
1998866,down,deep,shallow,B
1998878,down,shallow,shallow,A
1998884,down,shallow,shallow,B
1998889,down,shallow,shallow,A
1998892,down,deep,deep,B
1998894,down,deep,deep,A
1998896,down,deep,shallow,P
1998900,down,deep,deep,A
1998911,down,,shallow,A
1998912,down,shallow,shallow,B
1998916,up,deep,shallow,A
1998920,down,shallow,shallow,A
1998923,down,deep,deep,A
1998924,down,shallow,deep,A
1998926,down,,,A
1998928,down,deep,shallow,A
1998931,down,deep,shallow,B
1998941,down,deep,deep,B
1998943,down,shallow,shallow,A
1998945,down,deep,shallow,B
1998946,down,shallow,deep,B
1998950,down,shallow,shallow,A
1998955,down,shallow,shallow,B
1998959,down,,shallow,B
1998967,down,deep,shallow,B
1998979,down,deep,deep,A
1998980,down,deep,deep,B
2001512,down,deep,deep,B
2001528,down,deep,shallow,B
2001558,down,deep,shallow,B
2001571,down,deep,shallow,B
2001572,down,shallow,shallow,B
2001581,down,deep,shallow,B
2001594,down,shallow,shallow,B
2001597,up,deep,shallow,A
2001600,down,shallow,shallow,A
2001614,down,shallow,shallow,A
2001623,down,deep,shallow,B
2001624,down,deep,shallow,B
2001631,down,shallow,shallow,A
2001634,down,shallow,deep,A
2001635,down,deep,shallow,A
2001636,down,shallow,shallow,A
2001640,down,shallow,shallow,B
2001653,down,deep,deep,A
2001664,down,shallow,shallow,B
2001673,down,shallow,shallow,B
2001674,down,shallow,deep,B
2001680,down,deep,shallow,P
2001684,down,deep,deep,B
2001686,down,deep,deep,B
2001703,down,shallow,shallow,B
2001712,down,shallow,shallow,A
2001715,down,shallow,shallow,B
2001729,down,deep,shallow,P
2001733,down,deep,deep,A
2001751,down,deep,deep,B
2001752,down,,shallow,P
2001761,down,deep,shallow,A
2001769,down,,shallow,A
2001775,down,deep,shallow,B
2001776,down,deep,deep,B
2001784,up,shallow,deep,P
2001795,down,shallow,shallow,A
2001797,down,deep,shallow,B
2001804,down,shallow,deep,B
2001808,down,shallow,shallow,A
2001813,down,shallow,shallow,A
2001820,up,deep,deep,A
2001833,down,,shallow,B
